Location,MinTemp,MaxTemp,Rainfall,Humidity,Pressure,Month
Shelbyville,6.4,19.4,0,58,1032.1,9
Shelbyville,7.5,23.9,0,30,1025.2,9
Shelbyville,14,28,0,18,1020.1,9
Shelbyville,14.3,33.7,0,11,1012.2,9
Shelbyville,12.4,19.1,0,73,1020.3,9
Shelbyville,9.1,16.7,1.2,47,1024.2,9
Shelbyville,6.2,22.8,0,41,1021.4,9
Shelbyville,15,27.2,0,14,1006.9,10
Shelbyville,15,24.8,0,67,1016,10
Shelbyville,11.5,16.4,2.8,62.7,1018.3,10
Shelbyville,7.6,18.1,0.2,91,1025.8,10
Shelbyville,8.5,21.1,1.2,60,1027.8,10
Shelbyville,9.2,26.6,0,36,1026.1,10
Shelbyville,10.7,29.1,0,46,1023.7,10
Shelbyville,13.4,31.9,0.6,12,1015.7,10
Shelbyville,13,19,0,54,1020.8,10
Shelbyville,9,18.4,0,44,1027.2,10
Shelbyville,8.3,19.8,0,59,1029.2,10
Shelbyville,9.5,25.5,0,61,1025.1,10
Shelbyville,12.8,31,0,33,1020.3,10
Shelbyville,16,34.6,0,17,1017.6,10
Shelbyville,13.6,22.2,0,62,1023.1,10
Shelbyville,10.4,20.7,0,51,1029.3,10
Shelbyville,9.4,20.3,0,47,1030.9,10
Shelbyville,9.5,20.7,0,47,1032.5,10
Shelbyville,11.2,26.6,0,54,1027.2,10
Shelbyville,15.7,30.9,0,9,1019.8,10
Shelbyville,17.6,34.7,0,5,1010.8,10
Shelbyville,17.1,23.7,0,64,1006.2,10
Shelbyville,13.6,20.1,2.8,83,1016.7,10
Shelbyville,9.1,24.1,0,53,1024.4,10
Shelbyville,14.5,26.8,0,44,1018.5,10
Shelbyville,18.7,29.8,0,24,1009.1,10
Shelbyville,15.4,26.3,1.4,82,1014,11
Shelbyville,13.3,21.2,0,50,1021.9,11
Shelbyville,11.6,25.9,0,54,1019.5,11
Shelbyville,14.6,23.9,0.8,85,1009.7,11
Shelbyville,12.2,29.5,0,51,1011.6,11
Shelbyville,18.3,22.5,0.2,58,1001,11
Shelbyville,12.5,19,1.6,60,1013.1,11
Shelbyville,12.7,22.7,0.2,58,1021.5,11
Shelbyville,11.3,28.6,0,57,1023.5,11
Shelbyville,17.5,34.5,0,25,1017,11
Shelbyville,24.1,36.6,0,12,1011.2,11
Shelbyville,22.5,26.2,0,49,1006.6,11
Shelbyville,14,20.7,0,60,1016.1,11
Shelbyville,11.4,20.2,0,49,1020.6,11
Shelbyville,11.8,23,0,56,1023.3,11
Shelbyville,12.6,27.8,0,30,1017.2,11
Shelbyville,15.7,22.2,1.4,59,1012.7,11
Shelbyville,16.8,25.1,0,47,1007.6,11
Shelbyville,13.8,20.5,0.6,62,1010.4,11
Shelbyville,12.7,19.9,0,50,1005.2,11
Shelbyville,8.1,17.1,5,50,1009.4,11
Shelbyville,8.7,22.3,0,49,1013.1,11
Shelbyville,14.1,28.3,0,48,1009.8,11
Shelbyville,18.3,31.5,0,26,1007.8,11
Shelbyville,17.3,27.9,0,45,1005.7,11
Shelbyville,16.2,25.2,0,63,1005.1,11
Shelbyville,14.2,20.3,2.6,70,1005.3,11
Shelbyville,11.6,21,0,57,1014.3,11
Shelbyville,11.4,25.2,0,60,1013.7,11
Shelbyville,12.6,21.3,0,46,1012.8,12
Shelbyville,13,23.2,0,62,1013.1,12
Shelbyville,13.8,23.8,0,57,1013.7,12
Shelbyville,16.7,25,0,31,1010.4,12
Shelbyville,18,23.2,1,65,1010.8,12
Shelbyville,13.2,23.1,0,75,1011.9,12
Shelbyville,12.5,20.8,0,49,1016.7,12
Shelbyville,9.4,29.3,0,43,1014.9,12
Shelbyville,16.7,26.2,1.4,55,1001.9,12
Shelbyville,14.2,28,0,56,1010.8,12
Shelbyville,18.3,29.3,0,31,1010,12
Shelbyville,17.3,20.7,9.8,95,1001.5,12
Shelbyville,14.7,19.8,23.6,78,1006.9,12
Shelbyville,12.1,20.4,0.6,60,1014.2,12
Shelbyville,9.8,24.3,0,57,1016.3,12
Shelbyville,15.5,25.9,0,65,1015.5,12
Shelbyville,18,29.3,0,51,1009.7,12
Shelbyville,16,22.6,0,71,1010.2,12
Shelbyville,11.1,24.1,0,46,1018.2,12
Shelbyville,15.7,30.5,0,33,1018.9,12
Shelbyville,21.1,34.5,0,20,1011.4,12
Shelbyville,19.1,24.8,0,64,1009.5,12
Shelbyville,16.2,27,0,59,1016.3,12
Shelbyville,14.3,30.1,0,42,1012.9,12
Shelbyville,15.6,30.8,0,52,1013.4,12
Shelbyville,18,33.6,0,40,1009.7,12
Shelbyville,18.5,25.3,2.6,69,1009.2,12
Shelbyville,18,24.3,0,63,1008.7,12
Shelbyville,15.4,22.8,0,46,1013.2,12
Shelbyville,16.9,23.1,0.2,88,1011.2,12
Shelbyville,15.8,23.3,1.2,61,1010.6,12
Shelbyville,16.9,22.9,0,58,1011.3,1
Shelbyville,13.9,24.1,0,39,1020.9,1
Shelbyville,13.8,29.1,0,26,1017.6,1
Shelbyville,15.1,33.3,0,25,1013.8,1
Shelbyville,14.6,30.5,0,28,1015,1
Shelbyville,15.2,31,0,25,1012,1
Shelbyville,16,25.1,0.2,75,1013.3,1
Shelbyville,14.3,23.8,0,45,1019.9,1
Shelbyville,13.8,26,0,36,1018.6,1
Shelbyville,13.3,28.7,0,46,1012.4,1
Shelbyville,14.4,28.4,0,52,1012.8,1
Shelbyville,14.5,35.2,0,44,1016.8,1
Shelbyville,21.1,41.3,0,11,1010,1
Shelbyville,20,32.3,0,57,1011.7,1
Shelbyville,15.1,25.2,0,55,1018.8,1
Shelbyville,14.4,27.6,0,52,1022.7,1
Shelbyville,13.3,27.2,0,41,1023.8,1
Shelbyville,16.5,32.9,0,22,1018.8,1
Shelbyville,19,38.5,0,19,1011.7,1
Shelbyville,19.4,36.9,0,19,1007.3,1
Shelbyville,17.4,29,0,49,1011.3,1
Shelbyville,18.4,27.6,0,55,1002.8,1
Shelbyville,14.3,27.6,0,47,1008.1,1
Shelbyville,17.7,24.4,1,48,1013.1,1
Shelbyville,13.9,30.4,0,53,1018,1
Shelbyville,16.9,36.6,0,42,1019.9,1
Shelbyville,21.2,43.2,0,16,1013.4,1
Shelbyville,30.7,45.7,0,10,1007.5,1
Shelbyville,33.9,43.4,0,16,1009,1
Shelbyville,29.4,43.1,0,17,1010.5,1
Shelbyville,27.5,41.1,0,38,1012,1
Shelbyville,25.9,40.6,0,41,1012.8,2
Shelbyville,28.3,38.8,0,32,1011.3,2
Shelbyville,21.5,36.3,0,49,1010.8,2
Shelbyville,19.3,33,0,49,1008.1,2
Shelbyville,19.1,35.6,0,67,1008,2
Shelbyville,21,43.9,0,38,1006.8,2
Shelbyville,25.8,41.5,0,12,1000.8,2
Shelbyville,18.6,24.8,0.8,65,1013.7,2
Shelbyville,14.7,23.3,0,47,1020,2
Shelbyville,13.7,21.1,0,54,1021.5,2
Shelbyville,13.2,21.3,0,49,1023.7,2
Shelbyville,12.5,23.8,0,56,1023.1,2
Shelbyville,15.2,28.8,0,43,1021.9,2
Shelbyville,18.3,31.3,0,36,1020.6,2
Shelbyville,17.2,30,0,58,1017.8,2
Shelbyville,18.8,31.7,0,47,1016.1,2
Shelbyville,20.9,34.2,0,30,1012.8,2
Shelbyville,22.2,35.4,0,25,1010.6,2
Shelbyville,20.6,33,0,24,1008.6,2
Shelbyville,16.3,24.9,0,50,1017,2
Shelbyville,16.8,26.4,0,55,1020.6,2
Shelbyville,14.5,31.4,0,59,1016.3,2
Shelbyville,17.3,27.6,0,42,1012.3,2
Shelbyville,13,27.4,0,47,1020.2,2
Shelbyville,16.4,32.4,0,23,1017.1,2
Shelbyville,22.5,38.7,0,15,1014.7,2
Shelbyville,26.3,32.2,0,10,1011.3,2
Shelbyville,14.4,29.5,0,64,1016,2
Shelbyville,15.2,24,0,62,1015.7,3
Shelbyville,17.1,28.7,0,51,1011.5,3
Shelbyville,20.7,23.8,1.6,76,1003,3
Shelbyville,14.1,21.1,10.2,55,1020.1,3
Shelbyville,13.9,21.3,0.4,73,1023.4,3
Shelbyville,14.6,22.1,0,73,1019.7,3
Shelbyville,13.4,24.4,0,69,1017.8,3
Shelbyville,15,26.9,0,51,1019.3,3
Shelbyville,15.1,29.6,0,42,1018.8,3
Shelbyville,15.9,29.4,0,59,1017.6,3
Shelbyville,17.4,28,0,64,1017,3
Shelbyville,16.9,30.1,0,53,1015.9,3
Shelbyville,16.9,32.7,0,47,1015.8,3
Shelbyville,17.9,22,0.4,71,1014,3
Shelbyville,15.1,19.8,0.2,67,1018.3,3
Shelbyville,14.3,20,6,90,1018.6,3
Shelbyville,14.5,22.6,0.4,60,1021.2,3
Shelbyville,12.2,28.4,0,41,1015.1,3
Shelbyville,16.7,26.1,0,36,1013.1,3
Shelbyville,12.5,29.8,0,69,1015.8,3
Shelbyville,16.4,35,0,30,1009.4,3
Shelbyville,15,22.1,0,60,1017,3
Shelbyville,11.6,24.1,0,60,1017.8,3
Shelbyville,14.8,22.8,0.6,81,1015.9,3
Shelbyville,16.3,25.6,1.6,67,1015.8,3
Shelbyville,16.2,24.6,0,70,1023.4,3
Shelbyville,10.8,23.6,0,62,1027.7,3
Shelbyville,10.2,29.3,0,59,1023.4,3
Shelbyville,11.4,31.6,0,49,1021.2,3
Shelbyville,15.4,32,0,50,1021.8,3
Shelbyville,20.4,33.1,0,24,1019.4,3
Shelbyville,19.3,34.1,0,37,1017.8,4
Shelbyville,21,33.9,0,48,1017.6,4
Shelbyville,16.4,21.7,0,62,1022,4
Shelbyville,11.8,20.3,0,59,1026.9,4
Shelbyville,14.8,21,4.6,80,1024.6,4
Shelbyville,13.8,17.8,0,47,1029.5,4
Shelbyville,12.5,21.2,0,57,1031.9,4
Shelbyville,11.6,22.6,0,63,1029.1,4
Shelbyville,10.2,22.3,0,64,1023,4
Shelbyville,9.4,22,0,69,1021.6,4
Shelbyville,9.8,25.3,0,56,1023.3,4
Shelbyville,10.5,28.7,0,41,1022.1,4
Shelbyville,11.3,28.5,0,25,1019.8,4
Shelbyville,14.1,24.9,0,73,1016.3,4
Shelbyville,14.7,18.9,0,50,1015.7,4
Shelbyville,11.5,20.8,0,62,1015.2,4
Shelbyville,15,21.7,0.4,70,1019.4,4
Shelbyville,11.8,22.3,0,60,1025,4
Shelbyville,12.1,22.9,0,58,1025,4
Shelbyville,11.4,26.1,0,62,1020.7,4
Shelbyville,14.8,27.4,0,33,1020.3,4
Shelbyville,14.5,28.5,0,31,1019.7,4
Shelbyville,21.3,22.2,0,32,1010.6,4
Shelbyville,13.1,17.8,28.8,94,1002.3,4
Shelbyville,14.4,18.4,8.4,94,1003.6,4
Shelbyville,9.9,16.7,18.6,43,1010.3,4
Shelbyville,11.1,19.6,10.8,75,1013.2,4
Shelbyville,8.7,17.8,2,72,1023,4
Shelbyville,9.6,20.2,0,58,1022.4,4
Shelbyville,8.6,19.9,0,69,1022.4,4
Shelbyville,9.8,17.4,0,82,1024,5
Shelbyville,7.9,18.7,8.6,83,1028.6,5
Shelbyville,6.4,18.7,0,69,1030.3,5
Shelbyville,8.2,18.1,0,78,1032.3,5
Shelbyville,8.1,18.9,0,79,1032.1,5
Shelbyville,10.7,18.1,0,69,1030.5,5
Shelbyville,12.7,18.3,0,72,1030.8,5
Shelbyville,10.5,17.7,0,71,1032.7,5
Shelbyville,13.1,17.1,0,73,1029.8,5
Shelbyville,12.5,16.8,0,72,1026.4,5
Shelbyville,7.2,19.8,0,68,1025.1,5
Shelbyville,8.2,18.8,0,70,1024.7,5
Shelbyville,9.8,16.2,2,89,1021.7,5
Shelbyville,11.7,18.5,4.8,89,1019,5
Shelbyville,13.5,17.5,1,80,1017.8,5
Shelbyville,14.6,18.3,0,88,1019.3,5
Shelbyville,13.7,16.1,13.8,92,1023.7,5
Shelbyville,13,18.6,1.6,61,1022.5,5
Shelbyville,9.2,18.6,0,64,1018.5,5
Shelbyville,7.9,19.4,0,78,1020,5
Shelbyville,12.1,22.8,0,60,1023.3,5
Shelbyville,13.8,22.5,0,48,1019.9,5
Shelbyville,17.4,21.5,0,53,1012.5,5
Shelbyville,14.8,16.4,7.8,91,1015.4,5
Shelbyville,13.8,17.9,21.4,96,1016.1,5
Shelbyville,8.7,17.5,1.8,83,1023.8,5
Shelbyville,7.3,17.1,0,87,1025.5,5
Shelbyville,8.5,15.2,0.2,73,1028.5,5
Shelbyville,6,13.9,0,75,1029,5
Shelbyville,5.2,16.9,0,66,1029.5,5
Shelbyville,10.2,18.3,0,52,1028.2,5
Shelbyville,9.2,16.6,0,73,1026.6,6
Shelbyville,10.2,16.8,0,86,1024.2,6
Shelbyville,6.9,17.3,3.2,86,1021.1,6
Shelbyville,7.2,17.1,0,85,1019.7,6
Shelbyville,6.9,17.8,0,85,1015.9,6
Shelbyville,10.5,15.8,3.6,82,1008.3,6
Shelbyville,9.5,15.9,6.2,96,1009,6
Shelbyville,10.5,14.9,3.2,62,1013,6
Shelbyville,9.1,15.3,18,63,1015.1,6
Shelbyville,4.7,15,0.8,72,1025.1,6
Shelbyville,3.5,15.6,0,62,1025.4,6
Shelbyville,9.1,13.8,0,56,1017.9,6
Shelbyville,8.9,16.3,3,74,1006.1,6
Shelbyville,10.2,11.9,0.6,79,1003.7,6
Shelbyville,7,17.1,7.4,87,1014,6
Shelbyville,7.8,17.4,0.2,85,1024.3,6
Shelbyville,6.8,18.2,0,96,1028.6,6
Shelbyville,4.5,17.3,0,72,1028.5,6
Shelbyville,6.6,18.7,0,61,1025,6
Shelbyville,12.7,15.6,0,43,1013.6,6
Shelbyville,5,19,0.8,82,1016.3,6
Shelbyville,9.5,18,0.2,56,1013.4,6
Shelbyville,9.2,14.4,0,57,1011.2,6
Shelbyville,8.7,16.2,1.2,95,1014.3,6
Shelbyville,10.2,16.1,0,83,1013.2,6
Shelbyville,11.6,14,3.4,78,1003,6
Shelbyville,10.1,16.5,0,89,1008,6
Shelbyville,10,17.6,0.2,82,1005.3,6
Shelbyville,9.7,19.3,0,84,1007.1,6
Shelbyville,12.3,18.8,0,44,992.4,6
Shelbyville,10.7,15.1,16.6,89,1006.5,7
Shelbyville,10.1,14.5,6.6,58,1012.5,7
Shelbyville,12.1,16,2,84,1020.4,7
Shelbyville,11.7,16,1.4,92,1025.3,7
Shelbyville,7.9,15.1,0,95,1024.6,7
Shelbyville,3.6,13.2,0,72,1025.8,7
Shelbyville,2.9,13.7,0,77,1024.4,7
Shelbyville,7.1,16.1,0,57,1024.5,7
Shelbyville,5.7,17.8,0,53,1024.1,7
Shelbyville,12.7,15.7,2,79,1015.7,7
Shelbyville,12.1,17.4,13,68,1005.5,7
Shelbyville,10.8,16,1.2,80,1008,7
Shelbyville,10.1,14.2,4.6,89,1008.4,7
Shelbyville,7.1,11.9,10.2,95,1003.6,7
Shelbyville,5.1,13.7,11.4,96,1013.3,7
Shelbyville,7.9,15.3,10.4,90,1018.2,7
Shelbyville,7,16,0,66,1021.1,7
Shelbyville,9.8,16.2,0,59,1015.1,7
Shelbyville,10.5,18.6,0,75,1017,7
Shelbyville,12,21.7,0,38,1013.1,7
Shelbyville,14.5,19.8,0,36,1009.1,7
Shelbyville,9.3,14.6,3.2,86,1008.2,7
Shelbyville,3.6,15.2,2.2,84,1023.4,7
Shelbyville,6.1,16.2,0,51,1023.6,7
Shelbyville,8.1,16.9,0,39,1021.1,7
Shelbyville,10.3,14.9,0,68,1015.1,7
Shelbyville,10.1,14.7,1.2,94,1022.8,7
Shelbyville,10,15.6,12.6,96,1026.2,7
Shelbyville,10.5,15.6,3.6,96,1028,7
Shelbyville,10.4,15.9,3.4,97,1027.8,7
Shelbyville,9,15.7,3.4,97,1026.6,7
Shelbyville,5.8,16.5,1,74,1026.8,8
Shelbyville,10,15.8,0,91,1021.4,8
Shelbyville,8.6,20.2,0.2,73,1020.1,8
Shelbyville,9,23,0,40,1012.4,8
Shelbyville,10.9,15.4,1.6,54,1022.2,8
Shelbyville,3.3,18.1,0,48,1024.3,8
Shelbyville,7.4,16.8,0,44,1016.1,8
Shelbyville,12.1,18.4,0.4,41,1006.6,8
Shelbyville,11.3,17.1,0.6,86,1009.6,8
Shelbyville,10.8,17.6,1,91,1015.5,8
Shelbyville,6.6,18.2,0,77,1016,8
Shelbyville,6.3,22,0,64,1019.6,8
Shelbyville,14.1,26.7,0,37,1009.8,8
Shelbyville,11.3,16.5,3.8,65,1005.8,8
Shelbyville,11.1,17.2,2,58,1020.9,8
Shelbyville,6.8,21.2,0,71,1026.2,8
Shelbyville,13.8,20.9,0,37,1019.9,8
Shelbyville,9.8,22.4,0,76,1016.4,8
Shelbyville,13.6,15.7,0.4,65,1005.8,8
Shelbyville,7.9,17.4,0,76,1007.3,8
Shelbyville,8.8,19,0,72,1006.4,8
Shelbyville,9.9,14.6,2,79,1004.2,8
Shelbyville,7.7,15.3,12,72,1011.3,8
Shelbyville,10.3,15.6,4,63,1018.2,8
Shelbyville,7.9,17.7,0,79,1015.1,8
Shelbyville,7,22.9,0,52,1011.2,8
Shelbyville,12.9,16.4,6.6,89,1004.4,8
Shelbyville,9.2,15.4,15.8,66,1019.4,8
Shelbyville,10.5,17,2.6,94,1021.4,8
Shelbyville,10.9,18,1.6,88,1023.2,9
Shelbyville,11.1,21.6,0,38,1015.1,9
Shelbyville,10,17.8,0.4,65,1012.8,9
Shelbyville,9.4,15.7,3.4,67,1015.7,9
Shelbyville,11,16.4,0,62,1018.9,9
Shelbyville,11.3,19.3,0.2,30,1005.1,9
Shelbyville,11.8,17.5,2.2,91,1009.6,9
Shelbyville,10,14.8,0.2,58,1020,9
Shelbyville,10.6,15.5,0,55,1020.1,9
Shelbyville,4.8,22.6,0,47,1018.3,9
Shelbyville,14.2,29.4,0,14,1007.4,9
Shelbyville,11.9,30.9,0,13,1007.2,9
Shelbyville,12.9,18.9,0.8,46,1016.9,9
Shelbyville,6.5,16.9,0.6,59,1024.6,9
Shelbyville,6,24.4,0,33,1019.8,9
Shelbyville,16.3,26.2,0.2,42,1013.3,9
Shelbyville,14.2,17.4,8.8,82,1014.9,9
Shelbyville,8.1,17.8,0.4,47,1007.2,9
Shelbyville,9.9,17.1,24.2,71,998.7,9
Shelbyville,11.1,16.9,5.2,71,1013.3,9
Shelbyville,12.4,20.4,0.2,73,1015.3,9
Shelbyville,11.8,14.8,2.8,64.9,1018,9
Shelbyville,8.2,15.2,8.2,65,1014,9
Shelbyville,9.4,14.8,1.2,62,1023.1,9
Shelbyville,7.2,17.5,0.8,73,1020.6,9
Shelbyville,8.5,23.1,0,45,1012.3,9
Shelbyville,17.4,26.3,0,23,1008,9
Shelbyville,11.7,18.7,0,64,1013.7,10
Shelbyville,11.5,15.1,0,76,1016.7,10
Shelbyville,9.6,16.4,0.4,62,1021.8,10
Shelbyville,8.5,17.9,0,76,1022.8,10
Shelbyville,10.8,17.8,0,63,1025.9,10
Shelbyville,6,18.1,0,70,1028.3,10
Shelbyville,6.1,16.9,0,51,1028.6,10
Shelbyville,8.2,17.1,0,59,1030.7,10
Shelbyville,7.9,17.1,0,58,1029.2,10
Shelbyville,8.3,22.3,0,40,1025,10
Shelbyville,15.9,27.6,0,21,1014.2,10
Shelbyville,12.3,16.4,3,63,1005.1,10
Shelbyville,10.4,16,6.4,63,1002,10
Shelbyville,11.6,16.5,6.2,73,1011.7,10
Shelbyville,12.1,16.1,0.8,59,1016.1,10
Shelbyville,9.5,16.2,1.4,74,1024.7,10
Shelbyville,10.4,17.4,0.2,61,1029.5,10
Shelbyville,6.1,20.6,0,58,1029.9,10
Shelbyville,8.9,27.7,0,37,1025.3,10
Shelbyville,16.7,30.5,0,16,1018.7,10
Shelbyville,13.1,22.7,0,52,1022.3,10
Shelbyville,10.8,25.6,0,53,1021.9,10
Shelbyville,11.7,27.4,0,55,1022.1,10
Shelbyville,15.6,27.3,0,36,1018,10
Shelbyville,11.9,18.1,0,57,1024.3,10
Shelbyville,9.9,20.4,0,52,1028,10
Shelbyville,11.9,26.3,0,37,1023.7,10
Shelbyville,14.9,30.1,0,44,1021.8,10
Shelbyville,17.4,33.7,0,38,1017.1,10
Shelbyville,20.6,33.1,0,36,1016.4,10
Shelbyville,16,32.5,0,58,1018.1,10
Shelbyville,16.7,34.9,0,59,1020.1,11
Shelbyville,22.9,37.9,0,27,1013.7,11
Shelbyville,13,20,0.6,65,1019.4,11
Shelbyville,13.3,19.3,0,56,1024.1,11
Shelbyville,10.4,20.4,0,57,1025.9,11
Shelbyville,11.9,28.2,0,38,1022.6,11
Shelbyville,18.6,34.4,0,17,1022.2,11
Shelbyville,25.4,36.7,0,23,1022.3,11
Shelbyville,24.5,37,0,28,1020.4,11
Shelbyville,22.9,38.9,0,22,1018.5,11
Shelbyville,23.7,39.2,0,31,1019.8,11
Shelbyville,24.5,39.2,0,38,1020.5,11
Shelbyville,21.9,38.7,0,32,1018.1,11
Shelbyville,23.3,39.5,0,25,1014,11
Shelbyville,20.9,39.4,0,23,1011,11
Shelbyville,22.8,31.9,0,43,1009.9,11
Shelbyville,15.5,29,0,53,1011.2,11
Shelbyville,19.4,38.9,0,26,1003.5,11
Shelbyville,17.6,43,0,28,1006.1,11
Shelbyville,21.8,28.9,0,58,1007.3,11
Shelbyville,18.6,23.1,3,81,1008.7,11
Shelbyville,14.2,21,9,72,1010.5,11
Shelbyville,11.2,23.2,0,45,1026.7,11
Shelbyville,11.2,26.8,0,41,1026.2,11
Shelbyville,16.6,32,0,45,1018.6,11
Shelbyville,18.6,27.9,3.2,74,1008.7,11
Shelbyville,18.9,32.4,0,39,1005.9,11
Shelbyville,13.2,20.3,15,70,1005.2,11
Shelbyville,13.8,20.8,10.8,64,1010.4,11
Shelbyville,13.1,22.4,0.6,66,1017.9,11
Shelbyville,12.7,26.1,0,55,1020.4,12
Shelbyville,13.7,32.9,0,22,1017.6,12
Shelbyville,17.9,22.1,0,64,1017.9,12
Shelbyville,10.6,21.9,0,51,1023,12
Shelbyville,12.2,21.8,0,56,1021.1,12
Shelbyville,12.3,25.8,0,56,1018.4,12
Shelbyville,14.1,28.1,0,55,1014.7,12
Shelbyville,14,20.7,5.6,87,1013.2,12
Shelbyville,10.3,23,0,58,1012.8,12
Shelbyville,14.8,19.4,1.8,65,1010.8,12
Shelbyville,11.6,21.2,2.6,50,1022.6,12
Shelbyville,14,22.7,0,60,1023.7,12
Shelbyville,12.6,26.2,0,55,1023.4,12
Shelbyville,14.5,31.3,0,53,1021.1,12
Shelbyville,21.1,38.2,0,19,1016.8,12
Shelbyville,21.6,40.8,0,15,1011.5,12
Shelbyville,19.9,21.5,7.8,92,1010.6,12
Shelbyville,11.6,22.2,0.2,49,1023,12
Shelbyville,16.3,25,0,64,1023.1,12
Shelbyville,13,29.8,0,39,1020,12
Shelbyville,16,30.9,0,26,1012.4,12
Shelbyville,15.6,37.2,0,26,1011.8,12
Shelbyville,24.4,38.3,0,11,1006.9,12
Shelbyville,21.7,24.8,0.2,72,1007.3,12
Shelbyville,14.2,23.8,0,48,1018.2,12
Shelbyville,13,27.9,0,52,1019.9,12
Shelbyville,15.6,29.8,0,56,1018.1,12
Shelbyville,15.6,33.9,0,34,1018.9,12
Shelbyville,19.1,35.6,0,28,1021,12
Shelbyville,22.2,39.5,0,18,1015.7,12
Shelbyville,26.7,41.6,0,33,1009.1,12
Shelbyville,17.6,28.1,0,57,1009.8,1
Shelbyville,16.5,23.4,0,46,1017.6,1
Shelbyville,15.2,25.2,0,50,1022.6,1
Shelbyville,14.1,31.3,0,46,1017.1,1
Shelbyville,15.1,32,0,44,1016,1
Shelbyville,15.7,33.6,0,37,1017.6,1
Shelbyville,16.6,35.1,0,21,1015.3,1
Shelbyville,26.7,41,0,13,1013.8,1
Shelbyville,21.6,41.3,0,20,1013.8,1
Shelbyville,25.6,42,0,26,1014.7,1
Shelbyville,28.9,42.8,0,24,1008.7,1
Shelbyville,20.7,22.9,5,95,1008.3,1
Shelbyville,14.4,25.6,3.8,47,1020.2,1
Shelbyville,14,27.7,0,49,1020.9,1
Shelbyville,15.1,31.8,0,51,1016.4,1
Shelbyville,17.4,25,0,58,1013.2,1
Shelbyville,15.6,22.3,0,63,1017.3,1
Shelbyville,14.3,22.4,0,57,1018.4,1
Shelbyville,11.2,26.8,0,55,1018.1,1
Shelbyville,15.5,32.1,0,38,1013.2,1
Shelbyville,22,40.2,0,27,1008.5,1
Shelbyville,28.6,33.6,0,9,1002.6,1
Shelbyville,17.6,27.7,0,56,1016.6,1
